budget,box_office_us_canada,box_office_other,box_office_worldwide,number
30000000.0,223225679.0,171210907.0,394436586.0,1
120000000.0,162798565.0,200460294.0,363258859.0,2
90000000.0,245852179.0,265506097.0,511358276.0,3
115000000.0,255873250.0,272900000.0,528773250.0,4
94000000.0,339714978.0,531300000.0,871014978.0,5
92000000.0,261441092.0,370001000.0,631442092.0,6
120000000.0,244082982.0,217900167.0,461983149.0,7
150000000.0,206445654.0,417280431.0,623726085.0,8
180000000.0,223808164.0,297503696.0,521311860.0,9
175000000.0,293004164.0,442094918.0,735099082.0,10
200000000.0,415004880.0,651964823.0,1066969703.0,11
200000000.0,191452396.0,368400000.0,559852396.0,12
185000000.0,237283207.0,301700000.0,538983207.0,13
200000000.0,268492764.0,475066843.0,743559607.0,14
175000000.0,356461711.0,501149463.0,857611174.0,15
175000000.0,123087120.0,209120551.0,332207671.0,16
200000000.0,486295561.0,542275328.0,1028570889.0,17
175000000.0,152901115.0,231029541.0,383930656.0,18
175000000.0,210460015.0,604181157.0,814641172.0,19
200000000.0,608581744.0,634223615.0,1242805359.0,20
200000000.0,434038008.0,639356585.0,1073394593.0,21
175000000.0,61555145.0,80384897.0,141940042.0,22
150000000.0,946154.0,120957731.0,121903885.0,23
161148148.14814815,1324302.0,49788012.0,51112314.0,24
175000000.0,1399001.0,20414357.0,21813358.0,25
200000000.0,118307188.0,108118232.0,226425420.0,26
200000000.0,154426697.0,342017611.0,496444308.0,27
200000000.0,652980194.0,1045050771.0,1698030965.0,28
