value,category,category_id,genre_value_id
Adventure,Genre,0,0
Animation,Genre,0,1
Comedy,Genre,0,2
Buddy Comedy,Subgenre,1,3
Computer Animation,Subgenre,1,4
Fantasy,Subgenre,1,5
Supernatural Fantasy,Subgenre,1,6
Urban Adventure,Subgenre,1,7
Animal Adventure,Subgenre,1,8
Quest,Subgenre,1,9
Sea Adventure,Subgenre,1,10
Action,Genre,0,11
Superhero,Subgenre,1,12
Motorsport,Subgenre,1,13
Sport,Subgenre,1,14
Family,Genre,0,15
Adventure Epic,Subgenre,1,16
Artificial Intelligence,Subgenre,1,17
Dystopian Sci-Fi,Subgenre,1,18
Sci-Fi,Subgenre,1,19
Space Sci-Fi,Subgenre,1,20
Coming-of-Age,Subgenre,1,21
Globetrotting Adventure,Subgenre,1,22
Car Action,Subgenre,1,23
Crime,Subgenre,1,24
Spy,Subgenre,1,25
Fairy Tale,Subgenre,1,26
Sword & Sorcery,Subgenre,1,27
Teen Adventure,Subgenre,1,28
Dinosaur Adventure,Subgenre,1,29
Drama,Genre,0,30
Music,Subgenre,1,31
Mystery,Subgenre,1,32
Road Trip,Subgenre,1,33
Fantasy Epic,Subgenre,1,34
Teen Comedy,Subgenre,1,35
Time Travel,Subgenre,1,36
Romance,Subgenre,1,37
Teen Drama,Subgenre,1,38
